sprintId,sprintName,projectName,sprintStartDate,sprintEndDate,storyPoints,sprintDurationPassed,sprintDurationEstimated,parentKey,parentId,sprintStatus,storyKey,isSubTask,storyType,timeSpent,storyStatus,storystatus(list),sprintDurationEstimated(in hours),sprintDurationPassed(in hours),sprintDurationDifference(in hours),parentId(List)
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,13,972002,950400,-,-,active,EPP-134,False,Story,0,In Progress,not done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,13,972002,950400,-,-,active,EPP-133,False,Story,0,To Do,not done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,8,972002,950400,-,-,active,EPP-138,False,Task,0,To Do,not done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,5,972002,950400,-,-,active,EPP-136,False,Task,"14,400",Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,0,0,0,-,-,active,HIVERSE-9683,False,Bug,"5,400",In Progress,not done,0.0,0.0,0.0,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,0,0,0,-,-,active,HIVERSE-9595,False,Bug,0,To Do,not done,0.0,0.0,0.0,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,0,0,0,-,-,active,HIVERSE-9760,False,Bug,0,To Do,not done,0.0,0.0,0.0,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,0,0,0,-,-,active,HIVERSE-9761,False,Bug,0,To Do,not done,0.0,0.0,0.0,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,0,0,0,-,-,active,HIVERSE-9762,False,Bug,0,To Do,not done,0.0,0.0,0.0,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,0,0,0,-,-,active,HIVERSE-9593,False,Story,0,To Do,not done,0.0,0.0,0.0,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,0,0,0,-,-,active,HIVERSE-9594,False,Story,0,To Do,not done,0.0,0.0,0.0,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,0,949035,604748,-,-,active,HIVERSE-9755,False,Story,0,To Do,not done,167.98555555555555,263.62083333333334,95.63527777777779,No Parent
